name,position,team,half_ppr_points,play_prob,vot
Jack Bech,WR,LV,6.24,1.0,6.24
Konata Mumpfield,WR,LAR,6.22,1.0,6.22
Josh Downs,WR,IND,6.2,1.0,6.2
Grant Calcaterra,TE,PHI,6.16,1.0,6.16
Jalen McMillan,WR,TB,6.14,1.0,6.14
KeAndre Lambert-Smith,WR,LAC,6.1,1.0,6.1
Tre' Harris,WR,LAC,6.06,1.0,6.06
Kimani Vidal,RB,LAC,5.99,1.0,5.99
Christian Kirk,WR,HOU,5.98,1.0,5.98
Darnell Mooney,WR,ATL,5.95,1.0,5.95
Isaiah Likely,TE,BAL,5.91,1.0,5.91
Treylon Burks,WR,WAS,5.87,1.0,5.87
Blake Whiteheart,TE,CLE,5.79,1.0,5.79
Keenan Allen,WR,LAC,5.74,1.0,5.74
Tyrell Shavers,WR,BUF,5.74,1.0,5.74
Malachi Corley,WR,CLE,5.7,1.0,5.7
Olamide Zaccheaus,WR,CHI,5.65,1.0,5.65
Cade Otton,TE,TB,5.59,1.0,5.59
Tommy Tremble,TE,CAR,5.49,1.0,5.49
Blake Corum,RB,LAR,5.48,1.0,5.48
Theo Wease,WR,MIA,5.44,1.0,5.44
Jake Ferguson,TE,DAL,5.35,1.0,5.35
Britain Covey,WR,PHI,5.35,1.0,5.35
Jaylin Noel,WR,HOU,5.34,1.0,5.34
Jawhar Jordan,RB,HOU,5.34,1.0,5.34
Isaiah Williams,WR,NYJ,5.32,1.0,5.32
Colby Parkinson,TE,LAR,5.31,1.0,5.31
Bo Melton,WR,GB,5.26,1.0,5.26
Marquez Valdes-Scantling,WR,PIT,5.25,1.0,5.25
Josh Oliver,TE,MIN,5.21,1.0,5.21
Taysom Hill,TE,NO,5.11,1.0,5.11
Jonnu Smith,TE,PIT,5.08,1.0,5.08
Jalen Royals,WR,KC,5.08,1.0,5.08
Adam Thielen,WR,PIT,4.99,1.0,4.99
Xavier Legette,WR,CAR,4.98,1.0,4.98
Keaton Mitchell,RB,BAL,4.88,1.0,4.88
Mike Gesicki,TE,CIN,4.86,1.0,4.86
Emeka Egbuka,WR,TB,4.81,1.0,4.81
Ty Chandler,RB,MIN,4.68,1.0,4.68
Jalen Nailor,WR,MIN,4.63,1.0,4.63
Ty Johnson,RB,BUF,4.58,1.0,4.58
Calvin Austin,WR,PIT,4.56,1.0,4.56
Dameon Pierce,RB,KC,4.54,1.0,4.54
Andrei Iosivas,WR,CIN,4.53,1.0,4.53
DeMario Douglas,WR,NE,4.5,1.0,4.5
Cedric Tillman,WR,CLE,4.5,1.0,4.5
Xavier Smith,WR,LAR,4.49,1.0,4.49
Jayden Reed,WR,GB,4.44,1.0,4.44
Gunner Olszewski,WR,NYG,4.42,1.0,4.42
Kyle Williams,WR,NE,4.39,1.0,4.39
Evan Hull,RB,NO,4.38,1.0,4.38
Rachaad White,RB,TB,4.37,1.0,4.37
Isaiah Bond,WR,CLE,4.36,1.0,4.36
Xavier Weaver,WR,ARI,4.26,1.0,4.26
Xavier Hutchinson,WR,HOU,4.24,1.0,4.24
Josh Whyle,TE,GB,4.21,1.0,4.21
Will Dissly,TE,LAC,4.21,1.0,4.21
Sean Tucker,RB,TB,4.16,1.0,4.16
Cedrick Wilson,WR,MIA,4.15,1.0,4.15
KaVontae Turpin,WR,DAL,4.14,1.0,4.14
Davis Allen,TE,LAR,4.02,1.0,4.02
Sal Cannella,TE,CLE,4.01,1.0,4.01
Tyler Lockett,WR,LV,3.98,1.0,3.98
Cole Kmet,TE,CHI,3.88,1.0,3.88
Jeremy McNichols,RB,WAS,3.84,1.0,3.84
James Proche,WR,TEN,3.79,1.0,3.79
Gabe Davis,WR,BUF,3.76,1.0,3.76
A.J. Dillon,RB,PHI,3.76,1.0,3.76
Rasheen Ali,RB,BAL,3.75,1.0,3.75
David Sills,WR,ATL,3.74,1.0,3.74
Christian Watson,WR,GB,3.72,1.0,3.72
Trayveon Williams,RB,CLE,3.65,1.0,3.65
Joshua Palmer,WR,BUF,3.64,1.0,3.64
DeAndre Hopkins,WR,BAL,3.6,1.0,3.6
Ben Sinnott,TE,WAS,3.57,1.0,3.57
Jackson Hawes,TE,BUF,3.55,1.0,3.55
Jalen Brooks,WR,ARI,3.53,1.0,3.53
Tyler Higbee,TE,LAR,3.51,1.0,3.51
Keon Coleman,WR,BUF,3.51,1.0,3.51
Bhayshul Tuten,RB,JAX,3.46,1.0,3.46
Dalton Kincaid,TE,BUF,3.38,1.0,3.38
Dawson Knox,TE,BUF,3.34,1.0,3.34
Oronde Gadsden,TE,LAC,3.32,1.0,3.32
Derius Davis,WR,LAC,3.31,1.0,3.31
Stone Smartt,TE,NYJ,3.31,1.0,3.31
Scotty Miller,WR,PIT,3.29,1.0,3.29
Justin Watson,WR,HOU,3.28,1.0,3.28
Ray Davis,RB,BUF,3.22,1.0,3.22
Tyler Conklin,TE,LAC,3.21,1.0,3.21
Noah Fant,TE,CIN,3.2,1.0,3.2
Romeo Doubs,WR,GB,3.12,1.0,3.12
John Bates,TE,WAS,3.06,1.0,3.06
Jeremy Ruckert,TE,NYJ,3.02,1.0,3.02
Efton Chism,WR,NE,2.98,1.0,2.98
LeQuint Allen,RB,JAX,2.96,1.0,2.96
Kalif Raymond,WR,DET,2.93,1.0,2.93
Nick Westbrook-Ikhine,WR,MIA,2.92,1.0,2.92
Kylen Granson,TE,PHI,2.92,1.0,2.92
Mitchell Evans,TE,CAR,2.91,1.0,2.91
Ronnie Bell,WR,NO,2.89,1.0,2.89
Luke Musgrave,TE,GB,2.83,1.0,2.83
Demarcus Robinson,WR,SF,2.79,1.0,2.79
Elijah Higgins,TE,ARI,2.79,1.0,2.79
Julian Hill,TE,MIA,2.73,1.0,2.73
Donovan Edwards,RB,MIA,2.65,1.0,2.65
Noah Gray,TE,KC,2.6,1.0,2.6
Samori Toure,WR,NO,2.57,1.0,2.57
Dont'e Thornton,WR,LV,2.47,1.0,2.47
Shane Zylstra,TE,DET,2.47,1.0,2.47
Moliki Matavao,TE,NO,2.34,1.0,2.34
Devontez Walker,WR,BAL,2.33,1.0,2.33
Brian Robinson,RB,SF,2.33,1.0,2.33
Corey Kiner,RB,ARI,2.31,1.0,2.31
Jalen Tolbert,WR,DAL,2.3,1.0,2.3
Chris Moore,WR,WAS,2.21,1.0,2.21
Gage Larvadain,WR,CLE,2.2,1.0,2.2
Jimmy Horn,WR,CAR,2.19,1.0,2.19
Ian Thomas,TE,LV,2.06,1.0,2.06
Tanner Conner,TE,NYG,2.04,1.0,2.04
Anthony Firkser,TE,DET,2.01,1.0,2.01
Kendrick Bourne,WR,SF,1.99,1.0,1.99
Ben Yurosek,TE,MIN,1.97,1.0,1.97
Austin Hooper,TE,NE,1.9,1.0,1.9
Tanner Hudson,TE,CIN,1.85,1.0,1.85
Ameer Abdullah,RB,IND,1.77,1.0,1.77
Charlie Kolar,TE,BAL,1.67,1.0,1.67
Jahdae Walker,WR,CHI,1.66,1.0,1.66
Colson Yankoff,TE,WAS,1.64,1.0,1.64
David Martin-Robinson,TE,TEN,1.63,1.0,1.63
Zavier Scott,RB,MIN,1.61,1.0,1.61
Hassan Haskins,RB,LAC,1.59,1.0,1.59
Cade Stover,TE,HOU,1.57,1.0,1.57
Tez Johnson,WR,TB,1.46,1.0,1.46
Tahj Washington,WR,MIA,1.44,1.0,1.44
Charlie Woerner,TE,ATL,1.4,1.0,1.4
Chris Manhertz,TE,NYG,1.39,1.0,1.39
Tim Patrick,WR,JAX,1.37,1.0,1.37
Zamir White,RB,LV,1.35,1.0,1.35
DJ Giddens,RB,IND,1.33,1.0,1.33
Dak Prescott,QB,DAL,20.0,1.0,0.0
Baker Mayfield,QB,TB,18.82,1.0,0.0
Jared Goff,QB,DET,18.82,1.0,0.0
Matthew Stafford,QB,LAR,18.45,1.0,0.0
Lamar Jackson,QB,BAL,18.33,1.0,0.0
Brock Purdy,QB,SF,18.2,1.0,0.0
Tyler Shough,QB,NO,18.16,1.0,0.0
Joe Burrow,QB,CIN,18.07,1.0,0.0
Jaxon Smith-Njigba,WR,SEA,17.75,0.0,0.0
Caleb Williams,QB,CHI,17.2,1.0,0.0
Tanner McKee,QB,PHI,16.83,1.0,0.0
Sam Darnold,QB,SEA,16.82,0.0,0.0
Bo Nix,QB,DEN,16.75,0.0,0.0
Bryce Young,QB,CAR,16.63,1.0,0.0
Jacoby Brissett,QB,ARI,16.15,1.0,0.0
C.J. Stroud,QB,HOU,16.0,1.0,0.0
