name,position,team,total_vor,total_points,wc_vor,div_vor,conf_vor,sb_vor,wc_prob,div_prob,conf_prob,sb_prob
Kenneth Gainwell,RB,PIT,0.36,1.98,-2.89,-0.51,1.98,0.0,1.0,0.384,0.18,0.065
Jawhar Jordan,RB,HOU,0.34,1.49,-8.24,-0.7,1.49,0.0,1.0,0.616,0.22699999999999998,0.107
Brittain Brown,RB,CHI,0.3,0.99,0,-3.09,0.99,0.0,0,0.509,0.307,0.098
Rome Odunze,WR,CHI,0.29,3.17,0,0.0,0.94,0.0,0,0.509,0.307,0.098
Tetairoa McMillan,WR,CAR,0.28,12.15,0.28,-0.61,-0.99,0.0,1.0,0.177,0.051,0.011000000000000001
Nick Chubb,RB,HOU,0.28,1.24,0,-1.37,1.24,0.0,0,0.616,0.22699999999999998,0.107
DeVonta Smith,WR,PHI,0.26,8.97,0,0.2,0.49,0.0,0,0.6659999999999999,0.267,0.09300000000000001
Tank Bigsby,RB,PHI,0.22,0.82,-1.93,-2.68,0.82,0.0,1.0,0.6659999999999999,0.267,0.09300000000000001
Pat Bryant,WR,DEN,0.22,2.39,0,-0.23,0.36,0.0,0,1.0,0.604,0.315
DJ Moore,WR,CHI,0.17,2.66,-2.08,-0.15,0.56,0.0,1.0,0.509,0.307,0.098
Parker Washington,WR,JAX,0.16,2.63,-1.69,-0.18,0.54,0.0,1.0,0.47600000000000003,0.293,0.16399999999999998
Jakobi Meyers,WR,JAX,0.15,2.57,-0.78,-0.19,0.5,0.0,1.0,0.47600000000000003,0.293,0.16399999999999998
Omarion Hampton,RB,LAC,0.15,5.99,0,0.18,1.08,0.0,0,0.369,0.081,0.024
Brian Thomas,WR,JAX,0.11,2.4,-2.79,-0.24,0.37,0.0,1.0,0.47600000000000003,0.293,0.16399999999999998
DeMario Douglas,WR,NE,0.11,2.22,-7.37,-0.41,0.24,0.0,1.0,0.631,0.47,0.27
Ty Johnson,RB,BUF,0.11,0.75,-9.0,-2.01,0.75,0.0,1.0,0.524,0.145,0.055
Ray Davis,RB,BUF,0.07,0.45,-10.36,-3.1,0.45,0.0,1.0,0.524,0.145,0.055
Luther Burden,WR,CHI,0.06,2.14,-2.65,-0.31,0.18,0.0,1.0,0.509,0.307,0.098
Kimani Vidal,RB,LAC,0.06,0.68,-7.59,-1.61,0.68,0.0,1.0,0.369,0.081,0.024
Emanuel Wilson,RB,GB,0.05,0.52,-3.48,-2.28,0.52,0.0,1.0,0.491,0.10300000000000001,0.032
Brian Robinson,RB,SF,0.05,0.43,-11.25,-3.58,0.43,0.0,1.0,0.33399999999999996,0.124,0.044000000000000004
Rico Dowdle,RB,CAR,0.03,0.6,-3.58,-2.66,0.6,0.0,1.0,0.177,0.051,0.011000000000000001
Jaret Patterson,RB,LAC,0.03,0.33,-5.9,-3.24,0.33,0.0,1.0,0.369,0.081,0.024
Michael Bandy,WR,DEN,0.03,1.96,-11.87,-0.36,0.05,0.0,1.0,1.0,0.604,0.315
Chuba Hubbard,RB,CAR,0.02,0.38,-6.9,-3.41,0.38,0.0,1.0,0.177,0.051,0.011000000000000001
Brock Purdy,QB,SF,0.0,0,0.0,0.0,0.0,0.0,1.0,0.33399999999999996,0.124,0.044000000000000004
Caleb Williams,QB,CHI,0.0,0,0.0,0.0,0.0,0.0,1.0,0.509,0.307,0.098
Tanner McKee,QB,PHI,0.0,0,0.0,0.0,0.0,0.0,1.0,0.6659999999999999,0.267,0.09300000000000001
Sam Darnold,QB,SEA,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.706,0.483
Bo Nix,QB,DEN,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.604,0.315
Bryce Young,QB,CAR,0.0,0,0.0,0.0,0.0,0.0,1.0,0.177,0.051,0.011000000000000001
C.J. Stroud,QB,HOU,0.0,0,0.0,0.0,0.0,0.0,1.0,0.616,0.22699999999999998,0.107
Aaron Rodgers,QB,PIT,0.0,0,0.0,0.0,0.0,0.0,1.0,0.384,0.18,0.065
Mitchell Trubisky,QB,BUF,0.0,0,0.0,0.0,0.0,0.0,1.0,0.524,0.145,0.055
Trey Lance,QB,LAC,0.0,0,0.0,0.0,0.0,0.0,1.0,0.369,0.081,0.024
Pat Freiermuth,TE,PIT,0.0,0,-0.71,0.0,0.0,0.0,1.0,0.384,0.18,0.065
Grant Calcaterra,TE,PHI,0.0,0,-1.91,0,0,0,1.0,0,0,0
Jayden Higgins,WR,HOU,0.0,0,-2.32,-0.23,-0.32,0.0,1.0,0.616,0.22699999999999998,0.107
Tommy Tremble,TE,CAR,0.0,0,-2.58,0.0,0.0,0.0,1.0,0.177,0.051,0.011000000000000001
Jauan Jennings,WR,SF,0.0,0,-2.68,-0.36,-0.5,0.0,1.0,0.33399999999999996,0.124,0.044000000000000004
Jonnu Smith,TE,PIT,0.0,0,-2.99,0.0,0.0,0.0,1.0,0.384,0.18,0.065
Darius Cooper,WR,PHI,0.0,0,-3.11,0,0,0,1.0,0,0,0
Jahan Dotson,WR,PHI,0.0,0,-3.4,-0.65,-0.91,0.0,1.0,0.6659999999999999,0.267,0.09300000000000001
Jalen Coker,WR,CAR,0.0,0,-3.47,-0.73,-1.13,0.0,1.0,0.177,0.051,0.011000000000000001
Josh Whyle,TE,GB,0.0,0,-3.86,0,0,0,1.0,0,0,0
Will Dissly,TE,LAC,0.0,0,-3.86,0,0,0,1.0,0,0,0
Davis Allen,TE,LAR,0.0,0,-4.05,0.0,0.0,0.0,1.0,0.8220000000000001,0.44299999999999995,0.24
Cole Kmet,TE,CHI,0.0,0,-4.19,0.0,0.0,0.0,1.0,0.509,0.307,0.098
Jackson Hawes,TE,BUF,0.0,0,-4.52,0.0,0.0,0.0,1.0,0.524,0.145,0.055
Tyler Higbee,TE,LAR,0.0,0,-4.56,0.0,0.0,0.0,1.0,0.8220000000000001,0.44299999999999995,0.24
Dawson Knox,TE,BUF,0.0,0,-4.73,0.0,0.0,0.0,1.0,0.524,0.145,0.055
Chris Brooks,RB,GB,0.0,0,-4.85,0,0,0,1.0,0,0,0
Tyler Conklin,TE,LAC,0.0,0,-4.86,0,0,0,1.0,0,0,0
Matthew Golden,WR,GB,0.0,0,-4.99,-0.59,-1.09,0.0,1.0,0.491,0.10300000000000001,0.032
Kylen Granson,TE,PHI,0.0,0,-5.15,0,0,0,1.0,0,0,0
Mitchell Evans,TE,CAR,0.0,0,-5.16,0.0,0.0,0.0,1.0,0.177,0.051,0.011000000000000001
Luke Musgrave,TE,GB,0.0,0,-5.24,0,0,0,1.0,0,0,0
Khalil Shakir,WR,BUF,0.0,0,-5.57,-0.16,-0.51,0.0,1.0,0.524,0.145,0.055
Konata Mumpfield,WR,LAR,0.0,0,-5.65,0,0,0,1.0,0,0,0
KeAndre Lambert-Smith,WR,LAC,0.0,0,-5.77,0,0,0,1.0,0,0,0
Tre' Harris,WR,LAC,0.0,0,-5.81,-0.73,-1.2,0.0,1.0,0.369,0.081,0.024
Christian Kirk,WR,HOU,0.0,0,-5.89,-0.57,-0.82,0.0,1.0,0.616,0.22699999999999998,0.107
Will Shipley,RB,PHI,0.0,0,-6.1,0,0,0,1.0,0,0,0
Keenan Allen,WR,LAC,0.0,0,-6.13,-0.39,-0.89,0.0,1.0,0.369,0.081,0.024
Tyrell Shavers,WR,BUF,0.0,0,-6.13,0,0,0,1.0,0,0,0
Austin Hooper,TE,NE,0.0,0,-6.17,0.0,0.0,0.0,1.0,0.631,0.47,0.27
Olamide Zaccheaus,WR,CHI,0.0,0,-6.22,-0.57,-0.47,0.0,1.0,0.509,0.307,0.098
Cade Stover,TE,HOU,0.0,0,-6.5,0,0,0,1.0,0,0,0
Britain Covey,WR,PHI,0.0,0,-6.52,0,0,0,1.0,0,0,0
Jaylin Noel,WR,HOU,0.0,0,-6.53,-0.58,-0.84,0.0,1.0,0.616,0.22699999999999998,0.107
Bo Melton,WR,GB,0.0,0,-6.61,0,0,0,1.0,0,0,0
Marquez Valdes-Scantling,WR,PIT,0.0,0,-6.62,-0.77,-1.06,0.0,1.0,0.384,0.18,0.065
Adam Thielen,WR,PIT,0.0,0,-6.88,0,0,0,1.0,0,0,0
Xavier Legette,WR,CAR,0.0,0,-6.89,-0.79,-1.21,0.0,1.0,0.177,0.051,0.011000000000000001
Calvin Austin,WR,PIT,0.0,0,-7.31,-0.59,-0.72,0.0,1.0,0.384,0.18,0.065
Xavier Smith,WR,LAR,0.0,0,-7.38,-0.58,-0.59,0.0,1.0,0.8220000000000001,0.44299999999999995,0.24
Jayden Reed,WR,GB,0.0,0,-7.43,-0.45,-0.97,0.0,1.0,0.491,0.10300000000000001,0.032
Kyle Williams,WR,NE,0.0,0,-7.48,-0.64,-0.49,0.0,1.0,0.631,0.47,0.27
Xavier Hutchinson,WR,HOU,0.0,0,-7.63,-0.42,-0.6,0.0,1.0,0.616,0.22699999999999998,0.107
Evan Engram,TE,DEN,0.0,0,-8.07,0.0,0.0,0.0,1.0,1.0,0.604,0.315
Adam Trautman,TE,DEN,0.0,0,-8.07,0,0,0,1.0,0,0,0
Gabe Davis,WR,BUF,0.0,0,-8.11,-0.55,-0.94,0.0,1.0,0.524,0.145,0.055
Joshua Palmer,WR,BUF,0.0,0,-8.23,-0.62,-1.02,0.0,1.0,0.524,0.145,0.055
Keon Coleman,WR,BUF,0.0,0,-8.36,-0.34,-0.7,0.0,1.0,0.524,0.145,0.055
Derius Davis,WR,LAC,0.0,0,-8.56,0,0,0,1.0,0,0,0
Scotty Miller,WR,PIT,0.0,0,-8.58,0,0,0,1.0,0,0,0
Justin Watson,WR,HOU,0.0,0,-8.59,0,0,0,1.0,0,0,0
Romeo Doubs,WR,GB,0.0,0,-8.75,-0.19,-0.75,0.0,1.0,0.491,0.10300000000000001,0.032
Efton Chism,WR,NE,0.0,0,-8.89,0,0,0,1.0,0,0,0
Demarcus Robinson,WR,SF,0.0,0,-9.08,-0.74,-1.09,0.0,1.0,0.33399999999999996,0.124,0.044000000000000004
Jimmy Horn,WR,CAR,0.0,0,-9.68,0,0,0,1.0,0,0,0
A.J. Dillon,RB,PHI,0.0,0,-9.82,0,0,0,1.0,0,0,0
Kendrick Bourne,WR,SF,0.0,0,-9.88,-0.66,-0.97,0.0,1.0,0.33399999999999996,0.124,0.044000000000000004
Jahdae Walker,WR,CHI,0.0,0,-10.21,-0.7,-0.79,0.0,1.0,0.509,0.307,0.098
Tim Patrick,WR,JAX,0.0,0,-10.5,-0.7,-0.79,0.0,1.0,0.47600000000000003,0.293,0.16399999999999998
LeQuint Allen,RB,JAX,0.0,0,-10.62,0,0,0,1.0,0,0,0
Lil'Jordan Humphrey,WR,DEN,0.0,0,-11.87,-0.44,-0.14,0.0,1.0,1.0,0.604,0.315
Hassan Haskins,RB,LAC,0.0,0,-11.99,0,0,0,1.0,0,0,0
Tyler Badie,RB,DEN,0.0,0,-13.58,0,0,0,1.0,0,0,0
Jalen Hurts,QB,PHI,0.0,0,0,0.0,0.0,0.0,0,0.6659999999999999,0.267,0.09300000000000001
Justin Herbert,QB,LAC,0.0,0,0,0.0,0.0,0.0,0,0.369,0.081,0.024
Jordan Love,QB,GB,0.0,0,0,0.0,0.0,0.0,0,0.491,0.10300000000000001,0.032
Malik Willis,QB,GB,0.0,0,0,0.0,0.0,0.0,0,0.491,0.10300000000000001,0.032
Mac Jones,QB,SF,0.0,0,0,0.0,0.0,0.0,0,0.33399999999999996,0.124,0.044000000000000004
Davis Mills,QB,HOU,0.0,0,0,0.0,0.0,0.0,0,0.616,0.22699999999999998,0.107
Jake Tonges,TE,SF,0.0,0,0,0.0,0.0,0.0,0,0.33399999999999996,0.124,0.044000000000000004
Shane Buechele,QB,BUF,0.0,0,0,0.0,0.0,0.0,0,0.524,0.145,0.055
Andy Dalton,QB,CAR,0.0,0,0,0.0,0.0,0.0,0,0.177,0.051,0.011000000000000001
Terrance Ferguson,TE,LAR,0.0,0,0,0.0,0.0,0.0,0,0.8220000000000001,0.44299999999999995,0.24
