name,position,team,half_ppr_points,play_prob,vot,vor,on_my_team
Jaydon Blue,RB,DAL,3.98,0.0,0.0,0.0,0
Keaton Mitchell,RB,BAL,3.92,0.0,0.0,0.0,0
Shane Buechele,QB,BUF,3.92,0.145,0.0,0.0,0
Trey Lance,QB,LAC,3.89,0.081,0.0,0.0,0
Jonnu Smith,TE,PIT,3.89,0.18,0.0,0.0,0
Cole Kmet,TE,CHI,3.86,0.307,0.0,0.0,0
Isaiah Likely,TE,BAL,3.59,0.0,0.0,0.0,0
Jeremy McNichols,RB,WAS,3.54,0.0,0.0,0.0,0
Tanner McKee,QB,PHI,3.44,0.267,0.0,0.0,0
Andy Dalton,QB,CAR,3.38,0.051,0.0,0.0,0
Terrance Ferguson,TE,LAR,3.33,0.443,0.0,0.0,0
Josh Oliver,TE,MIN,3.17,0.0,0.0,0.0,0
Daniel Bellinger,TE,NYG,3.13,0.0,0.0,0.0,0
Joe Milton,QB,DAL,3.08,0.0,0.0,0.0,0
Austin Hooper,TE,NE,3.05,0.47,0.0,0.0,0
Brashard Smith,RB,KC,2.99,0.0,0.0,0.0,0
Davis Allen,TE,LAR,2.99,0.443,0.0,0.0,0
Ollie Gordon,RB,MIA,2.98,0.0,0.0,0.0,0
Tommy Tremble,TE,CAR,2.96,0.051,0.0,0.0,0
Hunter Long,TE,JAX,2.94,0.293,0.0,0.0,0
Taysom Hill,TE,NO,2.94,0.0,0.0,0.0,0
Mason Rudolph,QB,PIT,2.83,0.18,0.0,0.0,0
Elijah Higgins,TE,ARI,2.65,0.0,0.0,0.0,0
Jackson Hawes,TE,BUF,2.63,0.145,0.0,0.0,0
Tanner Hudson,TE,CIN,2.55,0.0,0.0,0.0,0
Ty Chandler,RB,MIN,2.43,0.0,0.0,0.0,0
Ameer Abdullah,RB,IND,2.3,0.0,0.0,0.0,0
Mitchell Evans,TE,CAR,2.28,0.051,0.0,0.0,0
Lil'Jordan Humphrey,WR,DEN,2.81,0.604,1.24,-0.14,0
Elijah Moore,WR,DEN,2.68,0.604,1.19,-0.2,0
Christian Watson,WR,GB,11.49,0.103,1.18,-0.2,0
Jayden Higgins,WR,HOU,6.41,0.227,1.07,-0.32,0
Olamide Zaccheaus,WR,CHI,4.08,0.307,0.92,-0.47,0
Tutu Atwell,WR,LAR,2.82,0.443,0.91,-0.47,0
Kyle Williams,WR,NE,2.6,0.47,0.9,-0.49,0
Jauan Jennings,WR,SF,9.72,0.124,0.88,-0.5,0
Khalil Shakir,WR,BUF,8.28,0.145,0.88,-0.51,0
Xavier Smith,WR,LAR,2.46,0.443,0.8,-0.59,0
Xavier Hutchinson,WR,HOU,4.74,0.227,0.79,-0.6,0
Ricky Pearsall,WR,SF,7.84,0.124,0.71,-0.67,0
Keon Coleman,WR,BUF,6.42,0.145,0.68,-0.7,0
Calvin Austin,WR,PIT,5.05,0.18,0.67,-0.72,0
Romeo Doubs,WR,GB,8.49,0.103,0.64,-0.75,0
Dyami Brown,WR,JAX,2.98,0.293,0.64,-0.75,0
Quentin Johnston,WR,LAC,10.55,0.081,0.63,-0.76,0
Tim Patrick,WR,JAX,2.76,0.293,0.59,-0.79,0
Jahdae Walker,WR,CHI,2.63,0.307,0.59,-0.79,0
Christian Kirk,WR,HOU,3.38,0.227,0.56,-0.82,0
Ladd McConkey,WR,LAC,9.24,0.081,0.55,-0.84,0
Jaylin Noel,WR,HOU,3.26,0.227,0.54,-0.84,0
Jared Wayne,WR,HOU,3.0,0.227,0.5,-0.89,0
Keenan Allen,WR,LAC,8.36,0.081,0.5,-0.89,0
Jahan Dotson,WR,PHI,2.42,0.267,0.47,-0.91,0
Gabe Davis,WR,BUF,4.15,0.145,0.44,-0.94,0
Jayden Reed,WR,GB,5.57,0.103,0.42,-0.97,0
Kendrick Bourne,WR,SF,4.6,0.124,0.42,-0.97,0
Tetairoa McMillan,WR,CAR,10.49,0.051,0.39,-0.99,0
Joshua Palmer,WR,BUF,3.44,0.145,0.37,-1.02,0
Roman Wilson,WR,PIT,2.66,0.18,0.35,-1.03,0
Marquez Valdes-Scantling,WR,PIT,2.5,0.18,0.33,-1.06,0
Dontayvion Wicks,WR,GB,4.34,0.103,0.33,-1.06,0
Matthew Golden,WR,GB,3.96,0.103,0.3,-1.09,0
Demarcus Robinson,WR,SF,3.23,0.124,0.29,-1.09,0
Brandin Cooks,WR,BUF,2.66,0.145,0.28,-1.1,0
Jalen Coker,WR,CAR,6.72,0.051,0.25,-1.13,0
Tre' Harris,WR,LAC,3.2,0.081,0.19,-1.2,0
Jakobie Keeney-James,WR,GB,2.5,0.103,0.19,-1.2,0
Xavier Legette,WR,CAR,4.79,0.051,0.18,-1.21,0
Ja'Marr Chase,WR,CIN,15.82,0.0,0.0,-1.39,0
Amon-Ra St. Brown,WR,DET,15.62,0.0,0.0,-1.39,0
George Pickens,WR,DAL,14.32,0.0,0.0,-1.39,0
Drake London,WR,ATL,13.99,0.0,0.0,-1.39,0
Chris Olave,WR,NO,13.62,0.0,0.0,-1.39,0
Zay Flowers,WR,BAL,12.14,0.0,0.0,-1.39,0
Tee Higgins,WR,CIN,12.01,0.0,0.0,-1.39,0
CeeDee Lamb,WR,DAL,11.67,0.0,0.0,-1.39,0
Jameson Williams,WR,DET,11.02,0.0,0.0,-1.39,0
Michael Wilson,WR,ARI,10.68,0.0,0.0,-1.39,0
Alec Pierce,WR,IND,10.65,0.0,0.0,-1.39,0
Jaylen Waddle,WR,MIA,10.13,0.0,0.0,-1.39,0
Emeka Egbuka,WR,TB,9.54,0.0,0.0,-1.39,0
Terry McLaurin,WR,WAS,9.52,0.0,0.0,-1.39,0
Deebo Samuel,WR,WAS,9.51,0.0,0.0,-1.39,0
Michael Pittman,WR,IND,9.44,0.0,0.0,-1.39,0
Justin Jefferson,WR,MIN,9.38,0.0,0.0,-1.39,0
Mike Evans,WR,TB,8.73,0.0,0.0,-1.39,0
Jordan Addison,WR,MIN,8.15,0.0,0.0,-1.39,0
Tre Tucker,WR,LV,7.84,0.0,0.0,-1.39,0
Theo Wease,WR,MIA,7.63,0.0,0.0,-1.39,0
Chris Godwin,WR,TB,7.17,0.0,0.0,-1.39,0
Marquise Brown,WR,KC,7.08,0.0,0.0,-1.39,0
Josh Downs,WR,IND,6.84,0.0,0.0,-1.39,0
Xavier Worthy,WR,KC,6.35,0.0,0.0,-1.39,0
Elic Ayomanor,WR,TEN,6.0,0.0,0.0,-1.39,0
Jalen McMillan,WR,TB,5.98,0.0,0.0,-1.39,0
Ryan Flournoy,WR,DAL,5.88,0.0,0.0,-1.39,0
Jerry Jeudy,WR,CLE,5.75,0.0,0.0,-1.39,0
Darius Slayton,WR,NYG,5.59,0.0,0.0,-1.39,0
Chimere Dike,WR,TEN,5.42,0.0,0.0,-1.39,0
Malik Washington,WR,MIA,5.28,0.0,0.0,-1.39,0
Sterling Shepard,WR,TB,4.96,0.0,0.0,-1.39,0
Jalen Nailor,WR,MIN,4.95,0.0,0.0,-1.39,0
KaVontae Turpin,WR,DAL,4.9,0.0,0.0,-1.39,0
Tez Johnson,WR,TB,4.9,0.0,0.0,-1.39,0
Ronnie Bell,WR,NO,4.65,0.0,0.0,-1.39,0
Adonai Mitchell,WR,NYJ,4.59,0.0,0.0,-1.39,0
Darnell Mooney,WR,ATL,4.42,0.0,0.0,-1.39,0
Andrei Iosivas,WR,CIN,4.32,0.0,0.0,-1.39,0
Isaac TeSlaa,WR,DET,3.99,0.0,0.0,-1.39,0
Cedric Tillman,WR,CLE,3.81,0.0,0.0,-1.39,0
John Metchie,WR,NYJ,3.46,0.0,0.0,-1.39,0
Rashod Bateman,WR,BAL,3.38,0.0,0.0,-1.39,0
JuJu Smith-Schuster,WR,KC,3.35,0.0,0.0,-1.39,0
Kevin Austin,WR,NO,3.31,0.0,0.0,-1.39,0
DeAndre Hopkins,WR,BAL,3.29,0.0,0.0,-1.39,0
Kalif Raymond,WR,DET,3.25,0.0,0.0,-1.39,0
Isaiah Hodgins,WR,NYG,3.21,0.0,0.0,-1.39,0
Tyler Lockett,WR,LV,3.01,0.0,0.0,-1.39,0
Treylon Burks,WR,WAS,3.0,0.0,0.0,-1.39,0
Jacoby Jones,WR,WAS,3.0,0.0,0.0,-1.39,0
Devontez Walker,WR,BAL,2.88,0.0,0.0,-1.39,0
Isaiah Bond,WR,CLE,2.86,0.0,0.0,-1.39,0
Xavier Restrepo,WR,TEN,2.8,0.0,0.0,-1.39,0
Shedrick Jackson,WR,LV,2.78,0.0,0.0,-1.39,0
Jalen Tolbert,WR,DAL,2.72,0.0,0.0,-1.39,0
Tyler Johnson,WR,NYJ,2.64,0.0,0.0,-1.39,0
Robbie Chosen,WR,WAS,2.6,0.0,0.0,-1.39,0
Isaiah Williams,WR,NYJ,2.38,0.0,0.0,-1.39,0
Chris Moore,WR,WAS,2.36,0.0,0.0,-1.39,0
David Sills,WR,ATL,2.36,0.0,0.0,-1.39,0
