name,position,team,game,pass_yds,pass_tds,rush_yds,rec_yds,receptions,td_prob,half_ppr_points,games_played
George Kittle,TE,SF,SF (Wild Card),0.0,0.0,0.0,61.64,4.86,0,11.47,
Mike Evans,WR,TB,TB (Wild Card),0.0,0.0,0.0,61.42,3.95,0,11.42,
Justin Jefferson,WR,MIN,MIN (Wild Card),0.0,0.0,0.29,64.54,4.82,0,11.23,
Tee Higgins,WR,CIN,CIN (Wild Card),0.0,0.0,0.31,55.9,3.73,0,11.21,
Kenneth Walker,RB,SEA,SEA (Wild Card),0.0,0.0,52.45,18.24,2.35,0,11.12,
Jakobi Meyers,WR,JAX,JAX (Wild Card),0.0,0.0,1.41,62.14,4.54,0,11.09,
Juwan Johnson,TE,NO,NO (Wild Card),0.0,0.0,0.0,61.2,5.44,0,11.0,
Jaylen Wright,RB,MIA,MIA (Wild Card),0.0,0.0,50.81,16.42,1.94,0,10.99,
TreVeyon Henderson,RB,NE,NE (Wild Card),0.0,0.0,56.68,12.18,1.77,0,10.71,
Kenneth Gainwell,RB,PIT,PIT (Wild Card),0.0,0.0,35.75,22.56,3.6,0,10.69,
Rhamondre Stevenson,RB,NE,NE (Wild Card),0.0,0.0,46.84,14.65,1.89,0,10.69,
Darius Slayton,WR,NYG,NYG (Wild Card),0.0,0.0,0.0,66.57,3.97,0,10.62,
Woody Marks,RB,HOU,HOU (Wild Card),0.0,0.0,41.14,22.35,2.48,0,10.59,
Courtland Sutton,WR,DEN,DEN (Wild Card),0.0,0.0,0.0,59.06,4.06,0,10.52,
Chris Rodriguez,RB,WAS,WAS (Wild Card),0.0,0.0,51.22,5.63,0.62,0,10.26,
Dylan Sampson,RB,CLE,CLE (Wild Card),0.0,0.0,45.03,25.06,2.8,0,10.21,
Brady Cook,QB,NYJ,NYJ (Wild Card),163.69,0.89,15.2,0.0,0.0,0,10.19,
Parker Washington,WR,JAX,JAX (Wild Card),0.0,0.0,2.13,55.77,3.86,0,10.18,
Emanuel Wilson,RB,GB,GB (Wild Card),0.0,0.0,52.79,9.64,1.6,0,10.1,
Terry McLaurin,WR,WAS,WAS (Wild Card),0.0,0.0,0.24,57.77,3.72,0,10.06,
Rico Dowdle,RB,CAR,CAR (Wild Card),0.0,0.0,49.2,15.97,2.28,0,10.0,
Stefon Diggs,WR,NE,NE (Wild Card),0.0,0.0,0.25,55.23,4.54,0,9.98,
DJ Moore,WR,CHI,CHI (Wild Card),0.0,0.0,6.04,50.8,3.54,0,9.79,
Michael Mayer,TE,LV,LV (Wild Card),0.0,0.0,0.0,50.29,5.87,0,9.7,
Kene Nwangwu,RB,NYJ,NYJ (Wild Card),0.0,0.0,46.13,10.8,1.41,0,9.64,
Kyle Pitts,TE,ATL,ATL (Wild Card),0.0,0.0,0.0,49.05,4.4,0,9.57,
Jayden Higgins,WR,HOU,HOU (Wild Card),0.0,0.0,0.1,51.96,3.76,0,9.55,
AJ Barner,TE,SEA,SEA (Wild Card),0.0,0.0,6.04,39.69,3.98,0,9.44,
Tony Pollard,RB,TEN,TEN (Wild Card),0.0,0.0,54.82,11.05,1.89,0,9.33,
Zach Charbonnet,RB,SEA,SEA (Wild Card),0.0,0.0,39.64,8.67,1.17,0,9.32,
Luther Burden,WR,CHI,CHI (Wild Card),0.0,0.0,1.37,56.42,4.01,0,9.22,
Jauan Jennings,WR,SF,SF (Wild Card),0.0,0.0,0.21,46.57,3.5,0,9.19,
Kyle Monangai,RB,CHI,CHI (Wild Card),0.0,0.0,48.43,9.38,1.04,0,9.18,
Brian Thomas,WR,JAX,JAX (Wild Card),0.0,0.0,0.15,53.51,3.35,0,9.08,
Brenton Strange,TE,JAX,JAX (Wild Card),0.0,0.0,0.0,49.8,4.33,0,8.89,
David Montgomery,RB,DET,DET (Wild Card),0.0,0.0,40.23,10.33,1.24,0,8.86,
Darius Cooper,WR,PHI,PHI (Wild Card),0.0,0.0,0.58,46.31,4.06,0,8.76,
Chris Brooks,RB,GB,GB (Wild Card),0.0,0.0,43.26,11.34,1.75,0,8.73,
Khalil Herbert,RB,NYJ,NYJ (Wild Card),0.0,0.0,53.18,4.81,0.82,0,8.67,
Isaiah Hodgins,WR,NYG,NYG (Wild Card),0.0,0.0,0.0,45.13,3.66,0,8.62,
Jerry Jeudy,WR,CLE,CLE (Wild Card),0.0,0.0,0.42,53.59,3.4,0,8.6,
Kenny Pickett,QB,LV,LV (Wild Card),136.08,0.71,7.91,0.0,0.0,0,8.57,
Hunter Henry,TE,NE,NE (Wild Card),0.0,0.0,0.0,42.47,3.7,0,8.56,
Michael Carter,RB,ARI,ARI (Wild Card),0.0,0.0,45.83,14.91,2.42,0,8.48,
Jahan Dotson,WR,PHI,PHI (Wild Card),0.0,0.0,0.44,46.04,3.09,0,8.47,
Tre Tucker,WR,LV,LV (Wild Card),0.0,0.0,3.31,44.2,3.66,0,8.44,
Chris Godwin,WR,TB,TB (Wild Card),0.0,0.0,0.0,46.77,3.62,0,8.41,
Jalen Coker,WR,CAR,CAR (Wild Card),0.0,0.0,0.0,49.27,3.58,0,8.4,
Mark Andrews,TE,BAL,BAL (Wild Card),0.0,0.0,1.64,37.93,3.35,0,8.39,
Devin Singletary,RB,NYG,NYG (Wild Card),0.0,0.0,29.8,15.4,2.2,0,8.32,
Tyler Warren,TE,IND,IND (Wild Card),0.0,0.0,1.11,43.6,4.07,0,8.31,
Deebo Samuel,WR,WAS,WAS (Wild Card),0.0,0.0,4.94,42.28,3.25,0,8.27,
Chimere Dike,WR,TEN,TEN (Wild Card),0.0,0.0,2.34,39.83,3.84,0,8.24,
Tyjae Spears,RB,TEN,TEN (Wild Card),0.0,0.0,25.57,18.49,2.84,0,8.23,
Kevin Austin,WR,NO,NO (Wild Card),0.0,0.0,0.0,44.6,3.39,0,8.07,
Travis Kelce,TE,KC,KC (Wild Card),0.0,0.0,0.18,42.76,4.31,0,8.07,
Adonai Mitchell,WR,NYJ,NYJ (Wild Card),0.0,0.0,1.21,47.47,3.24,0,8.05,
Michael Pittman,WR,IND,IND (Wild Card),0.0,0.0,0.26,42.78,3.77,0,7.87,
Raheim Sanders,RB,CLE,CLE (Wild Card),0.0,0.0,37.16,11.15,1.11,0,7.79,
Jaret Patterson,RB,LAC,LAC (Wild Card),0.0,0.0,30.49,14.82,1.74,0,7.68,
Alec Pierce,WR,IND,IND (Wild Card),0.0,0.0,0.0,47.94,2.33,0,7.58,
Colston Loveland,TE,CHI,CHI (Wild Card),0.0,0.0,0.12,41.48,3.26,0,7.53,
Will Shipley,RB,PHI,PHI (Wild Card),0.0,0.0,27.76,15.69,1.83,0,7.48,
Chig Okonkwo,TE,TEN,TEN (Wild Card),0.0,0.0,0.33,41.84,4.24,0,7.42,
Cooper Kupp,WR,SEA,SEA (Wild Card),0.0,0.0,0.12,41.28,3.17,0,7.41,
Pat Freiermuth,TE,PIT,PIT (Wild Card),0.0,0.0,0.0,36.77,3.53,0,7.36,
JuJu Smith-Schuster,WR,KC,KC (Wild Card),0.0,0.0,0.22,38.17,3.66,0,7.35,
Dante Pettis,WR,NO,NO (Wild Card),0.0,0.0,0.0,39.75,2.88,0,7.33,
Ryan Flournoy,WR,DAL,DAL (Wild Card),0.0,0.0,0.0,38.53,3.21,0,7.2,
Jordan Addison,WR,MIN,MIN (Wild Card),0.0,0.0,1.06,37.07,2.86,0,7.1,
Kareem Hunt,RB,KC,KC (Wild Card),0.0,0.0,31.68,7.17,1.17,0,7.05,
Dalton Schultz,TE,HOU,HOU (Wild Card),0.0,0.0,0.0,37.05,3.66,0,7.04,
Ollie Gordon,RB,MIA,MIA (Wild Card),0.0,0.0,19.29,11.66,1.51,0,7.03,
Tyler Allgeier,RB,ATL,ATL (Wild Card),0.0,0.0,31.68,4.38,0.58,0,7.02,
Marquise Brown,WR,KC,KC (Wild Card),0.0,0.0,0.11,36.44,3.29,0,6.98,
Samaje Perine,RB,CIN,CIN (Wild Card),0.0,0.0,28.28,10.59,1.45,0,6.95,
Matthew Golden,WR,GB,GB (Wild Card),0.0,0.0,1.12,38.19,3.26,0,6.88,
Greg Dulcich,TE,MIA,MIA (Wild Card),0.0,0.0,0.0,38.71,3.43,0,6.85,
Jacory Croskey-Merritt,RB,WAS,WAS (Wild Card),0.0,0.0,32.83,8.82,0.99,0,6.82,
Phil Mafah,RB,DAL,DAL (Wild Card),0.0,0.0,32.53,9.54,1.04,0,6.77,
Elic Ayomanor,WR,TEN,TEN (Wild Card),0.0,0.0,0.21,36.38,2.69,0,6.74,
Emari Demercado,RB,ARI,ARI (Wild Card),0.0,0.0,34.42,9.43,1.49,0,6.69,
Chuba Hubbard,RB,CAR,CAR (Wild Card),0.0,0.0,33.13,10.05,1.6,0,6.68,
Kayshon Boutte,WR,NE,NE (Wild Card),0.0,0.0,0.27,36.55,2.43,0,6.64,
Brashard Smith,RB,KC,KC (Wild Card),0.0,0.0,17.9,17.03,2.5,0,6.6,
Malik Washington,WR,MIA,MIA (Wild Card),0.0,0.0,2.69,32.16,3.37,0,6.55,
