name,position,team,total_vor,total_points,wc_vor,div_vor,conf_vor,sb_vor,wc_prob,div_prob,conf_prob,sb_prob
Khalil Shakir,WR,BUF,1.1,5.99,-4.93,0.08,5.03,5.92,1.0,0.524,0.145,0.055
Nick Chubb,RB,HOU,1.05,1.82,0,0.0,3.15,3.15,0,0.616,0.22699999999999998,0.107
Ladd McConkey,WR,LAC,1.03,4.38,0,1.04,5.99,6.88,0,0.369,0.081,0.024
Jake Tonges,TE,SF,0.99,2.25,0,1.86,2.21,2.21,0,0.33399999999999996,0.124,0.044000000000000004
Pat Bryant,WR,DEN,0.92,3.63,0,-4.25,0.7,1.59,0,1.0,0.604,0.315
Jonnu Smith,TE,PIT,0.88,2.45,-2.34,1.26,1.61,1.61,1.0,0.384,0.18,0.065
Romeo Doubs,WR,GB,0.88,5.31,-8.11,0.29,5.24,6.13,1.0,0.491,0.10300000000000001,0.032
Austin Hooper,TE,NE,0.83,4.18,-5.52,0.42,0.77,0.77,1.0,0.631,0.47,0.27
Ricky Pearsall,WR,SF,0.81,1.32,0,-0.36,4.59,5.48,0,0.33399999999999996,0.124,0.044000000000000004
Mitchell Trubisky,QB,BUF,0.8,1.46,-4.92,-10.42,3.84,4.45,1.0,0.524,0.145,0.055
Davis Allen,TE,LAR,0.78,4.5,-3.4,0.36,0.71,0.71,1.0,0.8220000000000001,0.44299999999999995,0.24
Chuba Hubbard,RB,CAR,0.68,1.79,-5.99,2.04,5.19,5.19,1.0,0.177,0.051,0.011000000000000001
Keon Coleman,WR,BUF,0.68,1.28,-7.72,-1.78,3.17,4.06,1.0,0.524,0.145,0.055
Bryce Young,QB,CAR,0.66,0.87,-2.19,-3.7,10.56,11.17,1.0,0.177,0.051,0.011000000000000001
Keenan Allen,WR,LAC,0.62,3.96,-5.49,0.16,5.11,6.0,1.0,0.369,0.081,0.024
Xavier Hutchinson,WR,HOU,0.59,1.58,-6.99,-3.46,1.49,2.38,1.0,0.616,0.22699999999999998,0.107
Ty Johnson,RB,BUF,0.58,1.04,-8.09,-0.26,2.89,2.89,1.0,0.524,0.145,0.055
Calvin Austin,WR,PIT,0.5,1.24,-6.67,-3.15,1.8,2.69,1.0,0.384,0.18,0.065
Hunter Long,TE,JAX,0.45,2.74,0,0.31,0.66,0.66,0,0.47600000000000003,0.293,0.16399999999999998
Olamide Zaccheaus,WR,CHI,0.42,1.65,-5.58,-4.12,0.83,1.72,1.0,0.509,0.307,0.098
Brittain Brown,RB,CHI,0.38,1.31,0,-2.22,0.93,0.93,0,0.509,0.307,0.098
Emanuel Wilson,RB,GB,0.36,0.68,-2.57,-0.45,2.7,2.7,1.0,0.491,0.10300000000000001,0.032
Jayden Reed,WR,GB,0.34,0.75,-6.79,-2.63,2.32,3.21,1.0,0.491,0.10300000000000001,0.032
Tank Bigsby,RB,PHI,0.28,1.11,-1.02,-2.37,0.78,0.78,1.0,0.6659999999999999,0.267,0.09300000000000001
Michael Bandy,WR,DEN,0.28,1.02,-9.9,-4.95,0.0,0.89,1.0,1.0,0.604,0.315
Kendrick Bourne,WR,SF,0.27,0.77,-9.24,-3.6,1.35,2.24,1.0,0.33399999999999996,0.124,0.044000000000000004
Gabe Davis,WR,BUF,0.23,0.83,-7.47,-4.05,0.9,1.79,1.0,0.524,0.145,0.055
Jalen Coker,WR,CAR,0.22,0.42,-2.83,-1.48,3.47,4.36,1.0,0.177,0.051,0.011000000000000001
Brian Robinson,RB,SF,0.19,0.58,-10.34,-2.01,1.14,1.14,1.0,0.33399999999999996,0.124,0.044000000000000004
Jaret Patterson,RB,LAC,0.18,0.42,-4.99,-1.42,1.73,1.73,1.0,0.369,0.081,0.024
Dontayvion Wicks,WR,GB,0.18,0.59,0,-3.86,1.09,1.98,0,0.491,0.10300000000000001,0.032
Ray Davis,RB,BUF,0.16,0.62,-9.45,-2.33,0.82,0.82,1.0,0.524,0.145,0.055
Christian Kirk,WR,HOU,0.14,1.13,-5.25,-4.82,0.13,1.02,1.0,0.616,0.22699999999999998,0.107
Lil'Jordan Humphrey,WR,DEN,0.14,0.89,-6.51,-5.39,-0.44,0.45,1.0,1.0,0.604,0.315
Shane Buechele,QB,BUF,0.13,0.78,0,-13.78,0.48,1.09,0,0.524,0.145,0.055
Matthew Golden,WR,GB,0.12,0.53,-4.35,-4.24,0.71,1.6,1.0,0.491,0.10300000000000001,0.032
Xavier Legette,WR,CAR,0.11,0.3,-6.25,-3.41,1.54,2.43,1.0,0.177,0.051,0.011000000000000001
Tutu Atwell,WR,LAR,0.11,0.68,0,-5.38,-0.43,0.46,0,0.8220000000000001,0.44299999999999995,0.24
Tommy Tremble,TE,CAR,0.1,0.71,-1.93,0.33,0.68,0.68,1.0,0.177,0.051,0.011000000000000001
Jaylin Noel,WR,HOU,0.1,1.09,-5.89,-4.94,0.01,0.9,1.0,0.616,0.22699999999999998,0.107
Dyami Brown,WR,JAX,0.1,0.49,0,-5.22,-0.27,0.62,0,0.47600000000000003,0.293,0.16399999999999998
Elijah Moore,WR,DEN,0.1,0.84,0,-5.52,-0.57,0.32,0,1.0,0.604,0.315
Joshua Palmer,WR,BUF,0.09,0.69,-7.59,-4.76,0.19,1.08,1.0,0.524,0.145,0.055
Jackson Hawes,TE,BUF,0.07,0.53,-3.87,0.0,0.35,0.35,1.0,0.524,0.145,0.055
Tim Patrick,WR,JAX,0.07,0.45,-9.86,-5.44,-0.49,0.4,1.0,0.47600000000000003,0.293,0.16399999999999998
Jared Wayne,WR,HOU,0.07,0.32,0,-5.2,-0.25,0.64,0,0.616,0.22699999999999998,0.107
Tanner McKee,QB,PHI,0.06,0.32,-1.99,-14.26,0.0,0.61,1.0,0.6659999999999999,0.267,0.09300000000000001
Trey Lance,QB,LAC,0.06,0.41,-5.33,-13.81,0.45,1.06,1.0,0.369,0.081,0.024
Kyle Williams,WR,NE,0.06,0.7,-6.84,-5.6,-0.65,0.24,1.0,0.631,0.47,0.27
Demarcus Robinson,WR,SF,0.04,0.14,-8.44,-4.97,-0.02,0.87,1.0,0.33399999999999996,0.124,0.044000000000000004
Jahdae Walker,WR,CHI,0.03,0.26,-9.57,-5.57,-0.62,0.27,1.0,0.509,0.307,0.098
Tre' Harris,WR,LAC,0.02,0.08,-5.17,-5.0,-0.05,0.84,1.0,0.369,0.081,0.024
Xavier Smith,WR,LAR,0.02,0.59,-6.74,-5.74,-0.79,0.1,1.0,0.8220000000000001,0.44299999999999995,0.24
Brandin Cooks,WR,BUF,0.02,0.15,0,-5.54,-0.59,0.3,0,0.524,0.145,0.055
Roman Wilson,WR,PIT,0.02,0.17,0,-5.54,-0.59,0.3,0,0.384,0.18,0.065
Jahan Dotson,WR,PHI,0.01,0.23,-2.76,-5.78,-0.83,0.06,1.0,0.6659999999999999,0.267,0.09300000000000001
Marquez Valdes-Scantling,WR,PIT,0.01,0.16,-5.98,-5.7,-0.75,0.14,1.0,0.384,0.18,0.065
Andy Dalton,QB,CAR,0.01,0.04,0,-14.32,-0.06,0.55,0,0.177,0.051,0.011000000000000001
Grant Calcaterra,TE,PHI,0.0,0,-1.26,0,0,0,1.0,0,0,0
Darius Cooper,WR,PHI,0.0,0,-2.47,0,0,0,1.0,0,0,0
Josh Whyle,TE,GB,0.0,0,-3.21,0,0,0,1.0,0,0,0
Will Dissly,TE,LAC,0.0,0,-3.21,0,0,0,1.0,0,0,0
Chris Brooks,RB,GB,0.0,0,-3.94,0,0,0,1.0,0,0,0
Tyler Conklin,TE,LAC,0.0,0,-4.21,0,0,0,1.0,0,0,0
Kylen Granson,TE,PHI,0.0,0,-4.5,0,0,0,1.0,0,0,0
Mitchell Evans,TE,CAR,0.0,0,-4.51,-0.35,0.0,0.0,1.0,0.177,0.051,0.011000000000000001
Luke Musgrave,TE,GB,0.0,0,-4.59,0,0,0,1.0,0,0,0
Konata Mumpfield,WR,LAR,0.0,0,-5.01,0,0,0,1.0,0,0,0
KeAndre Lambert-Smith,WR,LAC,0.0,0,-5.13,0,0,0,1.0,0,0,0
Will Shipley,RB,PHI,0.0,0,-5.19,0,0,0,1.0,0,0,0
Tyrell Shavers,WR,BUF,0.0,0,-5.49,0,0,0,1.0,0,0,0
Cade Stover,TE,HOU,0.0,0,-5.85,0,0,0,1.0,0,0,0
Britain Covey,WR,PHI,0.0,0,-5.88,0,0,0,1.0,0,0,0
Bo Melton,WR,GB,0.0,0,-5.97,0,0,0,1.0,0,0,0
Adam Trautman,TE,DEN,0.0,0,-6.02,0,0,0,1.0,0,0,0
Adam Thielen,WR,PIT,0.0,0,-6.24,0,0,0,1.0,0,0,0
Derius Davis,WR,LAC,0.0,0,-7.92,0,0,0,1.0,0,0,0
Scotty Miller,WR,PIT,0.0,0,-7.94,0,0,0,1.0,0,0,0
Justin Watson,WR,HOU,0.0,0,-7.95,0,0,0,1.0,0,0,0
Efton Chism,WR,NE,0.0,0,-8.25,0,0,0,1.0,0,0,0
A.J. Dillon,RB,PHI,0.0,0,-8.91,0,0,0,1.0,0,0,0
Jimmy Horn,WR,CAR,0.0,0,-9.04,0,0,0,1.0,0,0,0
LeQuint Allen,RB,JAX,0.0,0,-9.71,0,0,0,1.0,0,0,0
Tyler Badie,RB,DEN,0.0,0,-10.21,0,0,0,1.0,0,0,0
Hassan Haskins,RB,LAC,0.0,0,-11.08,0,0,0,1.0,0,0,0
Jakobie Keeney-James,WR,GB,0.0,0.08,0,-5.7,-0.75,0.14,0,0.491,0.10300000000000001,0.032
Mason Rudolph,QB,PIT,0.0,0,0,-14.87,-0.61,0.0,0,0.384,0.18,0.065
