name,position,team,half_ppr_points,play_prob,vot,vor,on_my_team
Jauan Jennings,WR,SF,9.19,1.0,9.19,-2.68,0
Jake Ferguson,TE,DAL,5.35,1.0,5.35,-2.72,0
Colby Parkinson,TE,LAR,5.31,1.0,5.31,-2.76,0
Brian Thomas,WR,JAX,9.08,1.0,9.08,-2.79,0
Josh Oliver,TE,MIN,5.21,1.0,5.21,-2.86,0
TreVeyon Henderson,RB,NE,10.71,1.0,10.71,-2.87,0
Kenneth Gainwell,RB,PIT,10.69,1.0,10.69,-2.89,0
Rhamondre Stevenson,RB,NE,10.69,1.0,10.69,-2.89,0
Taysom Hill,TE,NO,5.11,1.0,5.11,-2.96,0
Woody Marks,RB,HOU,10.59,1.0,10.59,-2.99,0
Jonnu Smith,TE,PIT,5.08,1.0,5.08,-2.99,0
Darius Cooper,WR,PHI,8.76,1.0,8.76,-3.11,0
Mike Gesicki,TE,CIN,4.86,1.0,4.86,-3.21,0
Isaiah Hodgins,WR,NYG,8.62,1.0,8.62,-3.25,0
Jerry Jeudy,WR,CLE,8.6,1.0,8.6,-3.27,0
Chris Rodriguez,RB,WAS,10.26,1.0,10.26,-3.32,0
Dylan Sampson,RB,CLE,10.21,1.0,10.21,-3.37,0
Jahan Dotson,WR,PHI,8.47,1.0,8.47,-3.4,0
Tre Tucker,WR,LV,8.44,1.0,8.44,-3.43,0
Chris Godwin,WR,TB,8.41,1.0,8.41,-3.46,0
Jalen Coker,WR,CAR,8.4,1.0,8.4,-3.47,0
Emanuel Wilson,RB,GB,10.1,1.0,10.1,-3.48,0
Rico Dowdle,RB,CAR,10.0,1.0,10.0,-3.58,0
Deebo Samuel,WR,WAS,8.27,1.0,8.27,-3.6,0
Chimere Dike,WR,TEN,8.24,1.0,8.24,-3.63,0
Kevin Austin,WR,NO,8.07,1.0,8.07,-3.8,0
Adonai Mitchell,WR,NYJ,8.05,1.0,8.05,-3.82,0
Josh Whyle,TE,GB,4.21,1.0,4.21,-3.86,0
Will Dissly,TE,LAC,4.21,1.0,4.21,-3.86,0
Kene Nwangwu,RB,NYJ,9.64,1.0,9.64,-3.94,0
Michael Pittman,WR,IND,7.87,1.0,7.87,-4.0,0
Davis Allen,TE,LAR,4.02,1.0,4.02,-4.05,0
Sal Cannella,TE,CLE,4.01,1.0,4.01,-4.06,0
Cole Kmet,TE,CHI,3.88,1.0,3.88,-4.19,0
Tony Pollard,RB,TEN,9.33,1.0,9.33,-4.25,0
Alec Pierce,WR,IND,7.58,1.0,7.58,-4.29,0
Kyle Monangai,RB,CHI,9.18,1.0,9.18,-4.4,0
Ben Sinnott,TE,WAS,3.57,1.0,3.57,-4.5,0
JuJu Smith-Schuster,WR,KC,7.35,1.0,7.35,-4.52,0
Jackson Hawes,TE,BUF,3.55,1.0,3.55,-4.52,0
Dante Pettis,WR,NO,7.33,1.0,7.33,-4.54,0
Tyler Higbee,TE,LAR,3.51,1.0,3.51,-4.56,0
Ryan Flournoy,WR,DAL,7.2,1.0,7.2,-4.67,0
Dalton Kincaid,TE,BUF,3.38,1.0,3.38,-4.69,0
David Montgomery,RB,DET,8.86,1.0,8.86,-4.72,0
Dawson Knox,TE,BUF,3.34,1.0,3.34,-4.73,0
Oronde Gadsden,TE,LAC,3.32,1.0,3.32,-4.75,0
Stone Smartt,TE,NYJ,3.31,1.0,3.31,-4.76,0
Jordan Addison,WR,MIN,7.1,1.0,7.1,-4.77,0
Chris Brooks,RB,GB,8.73,1.0,8.73,-4.85,0
Tyler Conklin,TE,LAC,3.21,1.0,3.21,-4.86,0
Noah Fant,TE,CIN,3.2,1.0,3.2,-4.87,0
Marquise Brown,WR,KC,6.98,1.0,6.98,-4.89,0
Khalil Herbert,RB,NYJ,8.67,1.0,8.67,-4.91,0
Matthew Golden,WR,GB,6.88,1.0,6.88,-4.99,0
John Bates,TE,WAS,3.06,1.0,3.06,-5.01,0
Jeremy Ruckert,TE,NYJ,3.02,1.0,3.02,-5.05,0
Michael Carter,RB,ARI,8.48,1.0,8.48,-5.1,0
Elic Ayomanor,WR,TEN,6.74,1.0,6.74,-5.13,0
Kylen Granson,TE,PHI,2.92,1.0,2.92,-5.15,0
Mitchell Evans,TE,CAR,2.91,1.0,2.91,-5.16,0
Kayshon Boutte,WR,NE,6.64,1.0,6.64,-5.23,0
Luke Musgrave,TE,GB,2.83,1.0,2.83,-5.24,0
Devin Singletary,RB,NYG,8.32,1.0,8.32,-5.26,0
Elijah Higgins,TE,ARI,2.79,1.0,2.79,-5.28,0
Malik Washington,WR,MIA,6.55,1.0,6.55,-5.32,0
Julian Hill,TE,MIA,2.73,1.0,2.73,-5.34,0
Tyjae Spears,RB,TEN,8.23,1.0,8.23,-5.35,0
John Metchie,WR,NYJ,6.44,1.0,6.44,-5.43,0
Noah Gray,TE,KC,2.6,1.0,2.6,-5.47,0
Khalil Shakir,WR,BUF,6.3,1.0,6.3,-5.57,0
Isaac TeSlaa,WR,DET,6.28,1.0,6.28,-5.59,0
Shane Zylstra,TE,DET,2.47,1.0,2.47,-5.6,0
Jack Bech,WR,LV,6.24,1.0,6.24,-5.63,0
Konata Mumpfield,WR,LAR,6.22,1.0,6.22,-5.65,0
Josh Downs,WR,IND,6.2,1.0,6.2,-5.67,0
Jalen McMillan,WR,TB,6.14,1.0,6.14,-5.73,0
Moliki Matavao,TE,NO,2.34,1.0,2.34,-5.73,0
KeAndre Lambert-Smith,WR,LAC,6.1,1.0,6.1,-5.77,0
Raheim Sanders,RB,CLE,7.79,1.0,7.79,-5.79,0
Tre' Harris,WR,LAC,6.06,1.0,6.06,-5.81,0
Christian Kirk,WR,HOU,5.98,1.0,5.98,-5.89,0
Jaret Patterson,RB,LAC,7.68,1.0,7.68,-5.9,0
Darnell Mooney,WR,ATL,5.95,1.0,5.95,-5.92,0
Treylon Burks,WR,WAS,5.87,1.0,5.87,-6.0,0
Ian Thomas,TE,LV,2.06,1.0,2.06,-6.01,0
Tanner Conner,TE,NYG,2.04,1.0,2.04,-6.03,0
Anthony Firkser,TE,DET,2.01,1.0,2.01,-6.06,0
Will Shipley,RB,PHI,7.48,1.0,7.48,-6.1,0
Ben Yurosek,TE,MIN,1.97,1.0,1.97,-6.1,0
Keenan Allen,WR,LAC,5.74,1.0,5.74,-6.13,0
Tyrell Shavers,WR,BUF,5.74,1.0,5.74,-6.13,0
Malachi Corley,WR,CLE,5.7,1.0,5.7,-6.17,0
Austin Hooper,TE,NE,1.9,1.0,1.9,-6.17,0
Olamide Zaccheaus,WR,CHI,5.65,1.0,5.65,-6.22,0
Tanner Hudson,TE,CIN,1.85,1.0,1.85,-6.22,0
Charlie Kolar,TE,BAL,1.67,1.0,1.67,-6.4,0
Theo Wease,WR,MIA,5.44,1.0,5.44,-6.43,0
Colson Yankoff,TE,WAS,1.64,1.0,1.64,-6.43,0
David Martin-Robinson,TE,TEN,1.63,1.0,1.63,-6.44,0
Cade Stover,TE,HOU,1.57,1.0,1.57,-6.5,0
Britain Covey,WR,PHI,5.35,1.0,5.35,-6.52,0
Jaylin Noel,WR,HOU,5.34,1.0,5.34,-6.53,0
Kareem Hunt,RB,KC,7.05,1.0,7.05,-6.53,0
Isaiah Williams,WR,NYJ,5.32,1.0,5.32,-6.55,0
Ollie Gordon,RB,MIA,7.03,1.0,7.03,-6.55,0
Tyler Allgeier,RB,ATL,7.02,1.0,7.02,-6.56,0
Bo Melton,WR,GB,5.26,1.0,5.26,-6.61,0
Marquez Valdes-Scantling,WR,PIT,5.25,1.0,5.25,-6.62,0
Samaje Perine,RB,CIN,6.95,1.0,6.95,-6.63,0
Charlie Woerner,TE,ATL,1.4,1.0,1.4,-6.67,0
Chris Manhertz,TE,NYG,1.39,1.0,1.39,-6.68,0
Jacory Croskey-Merritt,RB,WAS,6.82,1.0,6.82,-6.76,0
Jalen Royals,WR,KC,5.08,1.0,5.08,-6.79,0
Phil Mafah,RB,DAL,6.77,1.0,6.77,-6.81,0
Adam Thielen,WR,PIT,4.99,1.0,4.99,-6.88,0
Xavier Legette,WR,CAR,4.98,1.0,4.98,-6.89,0
Emari Demercado,RB,ARI,6.69,1.0,6.69,-6.89,0
Chuba Hubbard,RB,CAR,6.68,1.0,6.68,-6.9,0
Brashard Smith,RB,KC,6.6,1.0,6.6,-6.98,0
Emeka Egbuka,WR,TB,4.81,1.0,4.81,-7.06,0
Jalen Nailor,WR,MIN,4.63,1.0,4.63,-7.24,0
Calvin Austin,WR,PIT,4.56,1.0,4.56,-7.31,0
Andrei Iosivas,WR,CIN,4.53,1.0,4.53,-7.34,0
DeMario Douglas,WR,NE,4.5,1.0,4.5,-7.37,0
Cedric Tillman,WR,CLE,4.5,1.0,4.5,-7.37,0
Xavier Smith,WR,LAR,4.49,1.0,4.49,-7.38,0
