name,position,team,half_ppr_points,vor
Christian McCaffrey,RB,SF,21.51,19.21
Josh Allen,QB,BUF,21.68,18.85
Matthew Stafford,QB,LAR,20.96,18.130000000000003
Drake Maye,QB,NE,20.79,17.96
Jonathan Taylor,RB,IND,19.96,17.66
Bijan Robinson,RB,ATL,19.72,17.419999999999998
Trevor Lawrence,QB,JAX,20.13,17.299999999999997
Puka Nacua,WR,LAR,19.53,17.17
Jahmyr Gibbs,RB,DET,19.44,17.14
Brock Purdy,QB,SF,19.93,17.1
Jalen Hurts,QB,PHI,19.19,16.36
Caleb Williams,QB,CHI,18.66,15.83
De'Von Achane,RB,MIA,18.08,15.779999999999998
Dak Prescott,QB,DAL,18.34,15.51
Jaxon Smith-Njigba,WR,SEA,17.79,15.43
Jared Goff,QB,DET,18.06,15.229999999999999
Justin Herbert,QB,LAC,18.05,15.22
Bo Nix,QB,DEN,17.7,14.87
James Cook,RB,BUF,17.16,14.86
Jaxson Dart,QB,NYG,17.4,14.569999999999999
Derrick Henry,RB,BAL,16.35,14.05
Lamar Jackson,QB,BAL,16.84,14.01
Joe Burrow,QB,CIN,16.81,13.979999999999999
Jacoby Brissett,QB,ARI,16.67,13.840000000000002
Jayden Daniels,QB,WAS,16.61,13.78
Ja'Marr Chase,WR,CIN,15.82,13.46
Baker Mayfield,QB,TB,16.11,13.28
Amon-Ra St. Brown,WR,DET,15.62,13.26
Jordan Love,QB,GB,15.68,12.85
Trey McBride,TE,ARI,14.88,12.600000000000001
Josh Jacobs,RB,GB,14.87,12.57
Kyren Williams,RB,LAR,14.66,12.36
Chase Brown,RB,CIN,14.48,12.18
Jameis Winston,QB,NYG,14.93,12.1
C.J. Stroud,QB,HOU,14.9,12.07
George Pickens,WR,DAL,14.32,11.96
Tyler Shough,QB,NO,14.54,11.709999999999999
Drake London,WR,ATL,13.99,11.63
Travis Etienne,RB,JAX,13.88,11.580000000000002
Sam Darnold,QB,SEA,14.32,11.49
Davante Adams,WR,LAR,13.78,11.42
Aaron Rodgers,QB,PIT,14.16,11.33
Chris Olave,WR,NO,13.62,11.26
D'Andre Swift,RB,CHI,13.47,11.170000000000002
Bryce Young,QB,CAR,14.0,11.17
Saquon Barkley,RB,PHI,13.36,11.059999999999999
Omarion Hampton,RB,LAC,13.3,11.0
Ashton Jeanty,RB,LV,12.92,10.620000000000001
Malik Willis,QB,GB,13.29,10.459999999999999
Nico Collins,WR,HOU,12.71,10.350000000000001
Bucky Irving,RB,TB,12.55,10.25
Jaylen Warren,RB,PIT,12.32,10.02
J.J. McCarthy,QB,MIN,12.74,9.91
George Kittle,TE,SF,12.09,9.81
Breece Hall,RB,NYJ,12.1,9.8
Zay Flowers,WR,BAL,12.14,9.780000000000001
A.J. Brown,WR,PHI,12.09,9.73
Tee Higgins,WR,CIN,12.01,9.65
Rhamondre Stevenson,RB,NE,11.77,9.469999999999999
Rico Dowdle,RB,CAR,11.69,9.39
CeeDee Lamb,WR,DAL,11.67,9.31
