name,position,team,game,pass_yds,pass_tds,rush_yds,rec_yds,receptions,td_prob,half_ppr_points,games_played
Tre' Harris,WR,LAC,LAC (Divisional),0.0,0.0,0.6,19.1,1.8,0,3.2,17
Josh Oliver,TE,MIN,MIN (Divisional),0.0,0.0,0.0,10.7,1.0,0,3.17,15
Daniel Bellinger,TE,NYG,NYG (Divisional),0.0,0.0,0.0,17.9,1.2,0,3.13,16
Ray Davis,RB,BUF,BUF (Divisional),0.0,0.0,16.2,5.1,0.6,0,3.12,17
Joe Milton,QB,DAL,DAL (Divisional),45.8,0.25,12.5,0.0,0.0,0,3.08,4
Tank Bigsby,RB,PHI,PHI (Divisional),0.0,0.0,20.9,1.9,0.2,0,3.08,17
Austin Hooper,TE,NE,NE (Divisional),0.0,0.0,0.0,16.4,1.3,0,3.05,16
Tyler Lockett,WR,LV,LV (Divisional),0.0,0.0,0.0,17.1,1.9,0,3.01,17
Treylon Burks,WR,WAS,WAS (Divisional),0.0,0.0,0.0,16.2,1.2,0,3.0,8
Jacoby Jones,WR,WAS,WAS (Divisional),0.0,0.0,0.0,25.0,1.0,0,3.0,1
Jared Wayne,WR,HOU,HOU (Divisional),0.0,0.0,0.0,20.0,2.0,0,3.0,1
Brashard Smith,RB,KC,KC (Divisional),0.0,0.0,8.9,10.1,1.5,0,2.99,17
Davis Allen,TE,LAR,LAR (Divisional),0.0,0.0,0.0,12.2,1.4,0,2.99,17
Dyami Brown,WR,JAX,JAX (Divisional),0.0,0.0,2.1,16.2,1.4,0,2.98,14
Ollie Gordon,RB,MIA,MIA (Divisional),0.0,0.0,11.7,1.9,0.4,0,2.98,17
Tommy Tremble,TE,CAR,CAR (Divisional),0.0,0.0,0.0,14.6,1.6,0,2.96,17
Hunter Long,TE,JAX,JAX (Divisional),0.0,0.0,0.0,9.4,1.3,0,2.94,9
Taysom Hill,TE,NO,NO (Divisional),4.4,0.08,8.8,7.0,0.8,0,2.94,13
Devontez Walker,WR,BAL,BAL (Divisional),0.0,0.0,0.0,11.3,0.5,0,2.88,12
Isaiah Bond,WR,CLE,CLE (Divisional),0.0,0.0,1.8,21.1,1.1,0,2.86,16
Mason Rudolph,QB,PIT,PIT (Divisional),51.7,0.33,1.0,0.0,0.0,0,2.83,6
Tutu Atwell,WR,LAR,LAR (Divisional),0.0,0.0,0.0,19.2,0.6,0,2.82,10
Lil'Jordan Humphrey,WR,DEN,DEN (Divisional),0.0,0.0,0.0,15.6,1.3,0,2.81,10
Xavier Restrepo,WR,TEN,TEN (Divisional),0.0,0.0,0.0,20.5,1.5,0,2.8,2
Shedrick Jackson,WR,LV,LV (Divisional),0.0,0.0,0.6,11.2,0.8,0,2.78,5
Tim Patrick,WR,JAX,JAX (Divisional),0.0,0.0,0.0,11.7,0.9,0,2.76,16
Jalen Tolbert,WR,DAL,DAL (Divisional),0.0,0.0,0.0,15.6,1.4,0,2.72,13
Elijah Moore,WR,DEN,DEN (Divisional),0.0,0.0,2.7,12.4,1.0,0,2.68,9
Brandin Cooks,WR,BUF,BUF (Divisional),0.0,0.0,0.0,18.6,1.6,0,2.66,15
Roman Wilson,WR,PIT,PIT (Divisional),0.0,0.0,0.0,12.8,0.9,0,2.66,13
Elijah Higgins,TE,ARI,ARI (Divisional),0.0,0.0,0.0,17.7,1.8,0,2.65,17
Tyler Johnson,WR,NYJ,NYJ (Divisional),0.0,0.0,0.0,16.4,1.0,0,2.64,12
Jahdae Walker,WR,CHI,CHI (Divisional),0.0,0.0,0.0,9.7,0.7,0,2.63,9
Jackson Hawes,TE,BUF,BUF (Divisional),0.0,0.0,0.0,11.0,0.9,0,2.63,17
Robbie Chosen,WR,WAS,WAS (Divisional),0.0,0.0,0.0,17.7,1.7,0,2.6,3
Kyle Williams,WR,NE,NE (Divisional),0.0,0.0,0.2,12.3,0.6,0,2.6,17
Tanner Hudson,TE,CIN,CIN (Divisional),0.0,0.0,0.0,11.2,1.3,0,2.55,15
Marquez Valdes-Scantling,WR,PIT,PIT (Divisional),0.0,0.0,0.0,12.0,1.4,0,2.5,10
Jakobie Keeney-James,WR,GB,GB (Divisional),0.0,0.0,0.0,15.0,2.0,0,2.5,1
Xavier Smith,WR,LAR,LAR (Divisional),0.0,0.0,0.0,18.9,1.1,0,2.46,16
Ty Chandler,RB,MIN,MIN (Divisional),0.0,0.0,15.7,3.7,1.0,0,2.43,3
Jahan Dotson,WR,PHI,PHI (Divisional),0.0,0.0,0.0,15.4,1.1,0,2.42,17
Isaiah Williams,WR,NYJ,NYJ (Divisional),0.0,0.0,2.3,12.9,1.7,0,2.38,15
Chris Moore,WR,WAS,WAS (Divisional),0.0,0.0,0.6,14.8,0.8,0,2.36,14
David Sills,WR,ATL,ATL (Divisional),0.0,0.0,0.0,11.2,1.1,0,2.36,17
Ameer Abdullah,RB,IND,IND (Divisional),0.0,0.0,4.6,7.6,1.2,0,2.3,13
Mitchell Evans,TE,CAR,CAR (Divisional),0.0,0.0,0.1,10.1,1.1,0,2.28,17
