name,position,team,game,pass_yds,pass_tds,rush_yds,rec_yds,receptions,td_prob,half_ppr_points,games_played
Rhamondre Stevenson,RB,NE,NE (Divisional),0.0,0.0,43.1,24.6,2.3,0,11.77,14
Marcus Mariota,QB,WAS,WAS (Divisional),154.1,0.91,27.0,0.0,0.0,0,11.77,11
Rico Dowdle,RB,CAR,CAR (Divisional),0.0,0.0,63.3,17.5,2.3,0,11.69,17
CeeDee Lamb,WR,DAL,DAL (Divisional),0.0,0.0,0.1,76.9,5.4,0,11.67,14
Geno Smith,QB,LV,LV (Divisional),201.7,1.27,7.3,0.0,0.0,0,11.59,15
Christian Watson,WR,GB,GB (Divisional),0.0,0.0,0.3,61.1,3.5,0,11.49,10
Tua Tagovailoa,QB,MIA,MIA (Divisional),190.0,1.43,3.1,0.0,0.0,0,11.48,14
Joe Flacco,QB,CIN,CIN (Divisional),190.7,1.15,2.7,0.0,0.0,0,11.44,13
Spencer Rattler,QB,NO,NO (Divisional),176.2,0.89,18.6,0.0,0.1,0,11.4,9
TreVeyon Henderson,RB,NE,NE (Divisional),0.0,0.0,53.6,13.0,2.1,0,11.22,17
Davis Mills,QB,HOU,HOU (Divisional),152.5,0.83,10.0,0.0,0.0,0,11.1,6
Jameson Williams,WR,DET,DET (Divisional),0.0,0.0,0.7,65.7,3.8,0,11.02,17
Kenneth Gainwell,RB,PIT,PIT (Divisional),0.0,0.0,31.6,28.6,4.3,0,10.99,17
RJ Harvey,RB,DEN,DEN (Divisional),0.0,0.0,31.8,20.9,2.8,0,10.89,17
Shedeur Sanders,QB,CLE,CLE (Divisional),175.0,0.88,21.1,0.0,0.0,0,10.86,8
Michael Wilson,WR,ARI,ARI (Divisional),0.0,0.0,0.0,59.2,4.6,0,10.68,17
Alec Pierce,WR,IND,IND (Divisional),0.0,0.0,0.0,66.9,3.1,0,10.65,15
Courtland Sutton,WR,DEN,DEN (Divisional),0.0,0.0,0.0,59.8,4.4,0,10.63,17
Zach Charbonnet,RB,SEA,SEA (Divisional),0.0,0.0,45.6,9.0,1.2,0,10.59,16
Kirk Cousins,QB,ATL,ATL (Divisional),172.1,1.0,0.7,0.0,0.0,0,10.55,10
Philip Rivers,QB,IND,IND (Divisional),181.3,1.33,-0.3,0.0,0.0,0,10.55,3
Quentin Johnston,WR,LAC,LAC (Divisional),0.0,0.0,0.5,52.5,3.6,0,10.55,14
DK Metcalf,WR,PIT,PIT (Divisional),0.0,0.0,0.8,56.7,3.9,0,10.51,15
Tetairoa McMillan,WR,CAR,CAR (Divisional),0.0,0.0,0.0,59.6,4.1,0,10.49,17
Kenneth Walker,RB,SEA,SEA (Divisional),0.0,0.0,60.4,16.6,1.8,0,10.38,17
Rome Odunze,WR,CHI,CHI (Divisional),0.0,0.0,0.0,55.1,3.7,0,10.34,12
Dallas Goedert,TE,PHI,PHI (Divisional),0.0,0.0,0.0,39.4,4.0,0,10.34,15
Tony Pollard,RB,TEN,TEN (Divisional),0.0,0.0,63.6,12.1,1.9,0,10.31,17
Tyrod Taylor,QB,NYJ,NYJ (Divisional),129.8,0.83,23.8,0.0,0.0,0,10.24,6
Jaylen Waddle,WR,MIA,MIA (Divisional),0.5,0.0,1.8,56.9,4.0,0,10.13,16
Phil Mafah,RB,DAL,DAL (Divisional),0.0,0.0,18.0,11.0,2.0,0,9.9,1
Stefon Diggs,WR,NE,NE (Divisional),0.0,0.0,0.0,59.6,5.0,0,9.87,17
Kyle Pitts,TE,ATL,ATL (Divisional),0.0,0.0,0.0,54.6,5.2,0,9.81,17
Jake Browning,QB,CIN,CIN (Divisional),154.2,1.2,7.8,0.0,0.0,0,9.75,5
Jauan Jennings,WR,SF,SF (Divisional),0.0,0.0,0.0,42.9,3.7,0,9.72,15
Tyrone Tracy,RB,NYG,NYG (Divisional),0.0,0.0,49.3,19.2,2.4,0,9.65,15
DeVonta Smith,WR,PHI,PHI (Divisional),0.0,0.0,0.0,59.3,4.5,0,9.61,17
Emeka Egbuka,WR,TB,TB (Divisional),0.0,0.0,0.5,55.2,3.7,0,9.54,17
Harold Fannin,TE,CLE,CLE (Divisional),0.0,0.0,0.8,45.7,4.5,0,9.53,16
Terry McLaurin,WR,WAS,WAS (Divisional),0.0,0.0,0.0,58.2,3.8,0,9.52,10
Deebo Samuel,WR,WAS,WAS (Divisional),0.0,0.0,4.7,45.4,4.5,0,9.51,16
Michael Pittman,WR,IND,IND (Divisional),0.0,0.0,0.0,46.1,4.7,0,9.44,17
Justin Jefferson,WR,MIN,MIN (Divisional),0.0,0.0,0.4,61.6,4.9,0,9.38,17
