name,position,team,total_vot,total_points
Rashid Shaheed,WR,SEA,7.43,14.25
Chig Okonkwo,TE,TEN,7.42,7.42
Pat Freiermuth,TE,PIT,7.36,10.81
JuJu Smith-Schuster,WR,KC,7.35,7.35
Dante Pettis,WR,NO,7.33,7.33
Olamide Zaccheaus,WR,CHI,7.31,9.38
Christian Kirk,WR,HOU,7.25,9.19
Ryan Flournoy,WR,DAL,7.2,7.2
Jordan Addison,WR,MIN,7.1,7.1
Kareem Hunt,RB,KC,7.05,7.05
Jaleel McLaughlin,RB,DEN,7.04,7.04
Ollie Gordon,RB,MIA,7.03,7.03
Tyler Allgeier,RB,ATL,7.02,7.02
Marquise Brown,WR,KC,6.98,6.98
Keenan Allen,WR,LAC,6.97,9.7
Samaje Perine,RB,CIN,6.95,6.95
Greg Dulcich,TE,MIA,6.85,6.85
Jacory Croskey-Merritt,RB,WAS,6.82,6.82
Phil Mafah,RB,DAL,6.77,6.77
Oronde Gadsden,TE,LAC,6.76,6.76
Elic Ayomanor,WR,TEN,6.74,6.74
Emari Demercado,RB,ARI,6.69,6.69
Cooper Kupp,WR,SEA,6.62,12.7
Brashard Smith,RB,KC,6.6,6.6
Jaylin Noel,WR,HOU,6.56,8.44
Malik Washington,WR,MIA,6.55,6.55
Tre' Harris,WR,LAC,6.53,7.58
John Metchie,WR,NYJ,6.44,6.44
Daniel Bellinger,TE,NYG,6.31,6.31
Omarion Hampton,RB,LAC,6.3,6.3
Isaac TeSlaa,WR,DET,6.28,6.28
Jack Bech,WR,LV,6.24,6.24
Kyle Williams,WR,NE,6.23,7.95
Konata Mumpfield,WR,LAR,6.22,6.22
Josh Downs,WR,IND,6.2,6.2
Xavier Smith,WR,LAR,6.19,8.19
Grant Calcaterra,TE,PHI,6.16,6.16
Jalen McMillan,WR,TB,6.14,6.14
KeAndre Lambert-Smith,WR,LAC,6.1,6.1
Xavier Hutchinson,WR,HOU,6.02,8.74
Darnell Mooney,WR,ATL,5.95,5.95
Isaiah Likely,TE,BAL,5.91,5.91
Marquez Valdes-Scantling,WR,PIT,5.9,6.82
Calvin Austin,WR,PIT,5.87,7.74
Treylon Burks,WR,WAS,5.87,5.87
Blake Whiteheart,TE,CLE,5.79,5.79
